Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Site,Launch_Mass_kg,Inclination_radians
Japan,Commercial,Communications,GEO,,35778.0,35794.0,0.00019,1436.1,Guiana Space Center,1980.0,0.000523599
Japan,Commercial,Communications,GEO,,33066.0,35725.0,0.03261,1365.61,Guiana Space Center,2060.0,0.00122173
Japan,Commercial,Communications,GEO,,35784.0,35787.0,4e-05,1436.04,Guiana Space Center,2910.0,0.000872665
USA,Military,Technology Development,LEO,,403.0,813.0,0.02938,96.85,L-1011 Aircraft,384.0,0.226892803
France/USA,Government,Earth Science,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,Vandenberg AFB,587.0,1.713913325
Russia,Government,Remote Sensing,LEO,Sun-Synchronous,501.0,505.0,0.00029,94.7,Baikonur Cosmodrome,400.0,1.701696021
Canada,Civil,Technology Development,LEO,Sun-Synchronous,609.0,629.0,0.00143,97.1,Sriharikota Launch Station,7.0,1.706932008
Canada,Civil,Space Science,LEO,Sun-Synchronous,771.0,783.0,0.00084,100.3,Satish Dhawan Space Center,5.0,1.720894642
Canada,Civil/Commercial,Technology Development,LEO,Sun-Synchronous,611.0,631.0,0.00143,97.1,Sriharikota Launch Station,16.0,1.706932008
USA,Civil,Technology Development,LEO,Sun-Synchronous,500.0,506.0,0.00044,94.67,Wallops Island Flight Facility,,0.70703288
India,Government,Remote Sensing,LEO,Sun-Synchronous,618.0,619.0,7e-05,97.1,Satish Dhawan Space Center,1560.0,1.708677338
India,Government,Remote Sensing,LEO,Sun-Synchronous,632.0,635.0,0.00021,97.4,Satish Dhawan Space Center,680.0,1.692969374
India,Military,Remote Sensing,LEO,Sun-Synchronous,624.0,643.0,0.00136,97.4,Sriharikota Launch Station,680.0,1.708677338
India,Government,Remote Sensing,LEO,Sun-Synchronous,622.0,645.0,0.00164,97.4,Sriharikota Launch Station,694.0,1.708677338
Canada,Government,Earth Science,Elliptical,,325.0,1486.0,0.07979,103.11,Vandenberg AFB,490.0,1.413716694
USA,Government,Technology Development,LEO,,538.0,544.0,0.00043,95.5,Cape Canaveral,159.0,0.617846555
USA,Government,Astrophysics,Elliptical,Deep Highly Eccentric,9999.0,138825.0,0.79737,3808.92,Cape Canaveral,4742.0,0.497418837
China (PR),Commercial/Government,Communications,GEO,,35777.0,35797.0,0.00024,1436.1,Xichang Satellite Launch Center,4600.0,0.000872665
China (PR),Government,Communications,LEO,Sun-Synchronous,729.0,748.0,0.00134,99.6,Taiyuan Launch Center,100.0,1.719149313
China (PR),Government,Earth Observation,LEO,Sun-Synchronous,785.0,804.0,0.00133,98.5,Jiuquan Satellite Launch Center,100.8,1.719149313
China (PR),Government,Earth Observation,LEO,Sun-Synchronous,784.0,804.0,0.0014,100.7,Jiuquan Satellite Launch Center,100.0,1.719149313
China (PR),Government,Technology Development,LEO,Sun-Synchronous,564.0,611.0,0.00338,96.43,Taiyuan Launch Center,200.0,1.705186679
Canada,Commercial,Communications,GEO,,35782.0,35788.0,7e-05,1436.05,Baikonur Cosmodrome,5585.0,0.000872665
USA,Civil,Space Science,LEO,Sun-Synchronous,484.0,791.0,0.02191,97.4,Vandenberg AFB,3.15,1.127482697
USA,Civil,Space Science,LEO,Sun-Synchronous,594.0,731.0,0.00974,98.0,Dombarovsky Launch Facility,3.0,1.706932008
USA,Civil,Space Science,LEO,Sun-Synchronous,594.0,747.0,0.01087,98.0,Dombarovsky Launch Facility,3.0,1.706932008
USA,Government/Civil,Earth Science,LEO,Sun-Synchronous,702.0,703.0,7e-05,98.8,Vandenberg AFB,848.0,1.713913325
China (PR),Military,Navigation/Global Positioning,GEO,,35768.0,35803.0,0.00042,1436.05,Xichang Satellite Launch Center,2200.0,0.031066861
China (PR),Military,Navigation/Global Positioning,GEO,,35708.0,35864.0,0.00185,1436.08,Xichang Satellite Launch Center,2300.0,0.962723615
China (PR),Military,Navigation/Global Positioning,GEO,,35776.0,35799.0,0.00027,1436.15,Xichang Satellite Launch Center,2300.0,0.032637657
China (PR),Military,Navigation/Global Positioning,GEO,,35774.0,35797.0,0.00027,1436.05,Xichang Satellite Launch Center,2200.0,0.031939525
China (PR),Military,Navigation/Global Positioning,GEO,,35764.0,35809.0,0.00053,1436.1,Xichang Satellite Launch Center,6000.0,0.024958208
China (PR),Military,Navigation/Global Positioning,GEO,,35670.0,35893.0,0.00265,1435.82,Xichang Satellite Launch Center,2200.0,0.961501885
China (PR),Military,Navigation/Global Positioning,GEO,,35775.0,35799.0,0.00028,1436.11,Xichang Satellite Launch Center,3800.0,0.032114058
China (PR),Military,Navigation/Global Positioning,GEO,,35717.0,35817.0,0.00119,1436.12,Xichang Satellite Launch Center,2200.0,0.963945346
China (PR),Military,Navigation/Global Positioning,GEO,,35693.0,37872.0,0.02525,1435.93,Xichang Satellite Launch Center,2300.0,1.682497399
China (PR),Military,Navigation/Global Positioning,GEO,,35708.0,35879.0,0.00203,1435.1,Xichang Satellite Launch Center,2300.0,0.963421747
China (PR),Military,Navigation/Global Positioning,MEO,,21519.0,21545.0,0.00047,773.39,Xichang Satellite Launch Center,2200.0,0.964468945
China (PR),Military,Navigation/Global Positioning,MEO,,21460.0,21595.0,0.00242,773.19,Xichang Satellite Launch Center,2200.0,0.962723615
China (PR),Military,Navigation/Global Positioning,MEO,,21452.0,21603.0,0.00271,773.21,Xichang Satellite Launch Center,2200.0,0.961676418
China (PR),Military,Navigation/Global Positioning,MEO,,21462.0,21591.0,0.00231,773.1,Xichang Satellite Launch Center,3800.0,0.959931089
China (PR),Military,Navigation/Global Positioning,MEO,,21477.0,21574.0,0.00174,773.1,Xichang Satellite Launch Center,3800.0,0.959931089
South Korea,Government,Earth Observation/Meteorology/Communications,GEO,,35783.0,35791.0,9e-05,1436.1,Guiana Space Center,2460.0,0.000174533
Germany,Military,Communications,GEO,,35773.0,35799.0,0.00031,1436.1,Guiana Space Center,2440.0,0.000872665
Germany,Military,Communications,GEO,,35780.0,35794.0,0.00017,1436.11,Guiana Space Center,2440.0,0.001396263
USA,Military,Earth/Space Science,LEO,Sun-Synchronous,820.0,841.0,0.00146,101.5,Vandenberg AFB,817.0,1.724385301
Taiwan/USA,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,764.0,836.0,0.00502,100.9,Vandenberg AFB,70.0,1.256637061
Taiwan/USA,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,769.0,831.0,0.00432,100.9,Vandenberg AFB,70.0,1.256637061
Taiwan/USA,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,669.0,746.0,0.00544,98.9,Vandenberg AFB,70.0,1.256637061
Taiwan/USA,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,751.0,849.0,0.00683,100.9,Vandenberg AFB,70.0,1.256637061
Taiwan/USA,Government/Civil,Remote Sensing,LEO,Sun-Synchronous,772.0,828.0,0.00391,100.9,Vandenberg AFB,70.0,1.256637061
Italy,Civil/Military,Remote Sensing/Imaging,LEO,Sun-Synchronous,622.0,623.0,7e-05,97.2,Vandenberg AFB,1700.0,1.708677338
Italy,Military/Government,Earth Observation,LEO,Sun-Synchronous,622.0,623.0,7e-05,97.2,Vandenberg AFB,1700.0,1.708677338
Italy,Military/Government,Earth Observation,LEO,Sun-Synchronous,622.0,623.0,7e-05,97.2,Vandenberg AFB,1700.0,1.708677338
Italy,Military/Government,Earth Observation,LEO,Sun-Synchronous,622.0,623.0,7e-05,97.2,Vandenberg AFB,1700.0,1.708677338
ESA,Government,Earth Observation,LEO,,713.0,724.0,0.00078,99.2,Baikonur Cosmodrome,720.0,1.605702912
Argentina,Civil,Technology Development,LEO,Sun-Synchronous,630.0,653.0,0.00164,97.55,Jiuquan Satellite Launch Center,2.0,1.711295332
Argentina,Civil,Technology Development,LEO,Sun-Synchronous,594.0,715.0,0.00861,97.8,Dombarovsky Launch Facility,2.0,1.706932008
Japan,Civil,Technology Development,LEO,Sun-Synchronous,815.0,830.0,0.00104,101.3,Plesetsk Cosmodrome,,1.722639972
Japan,Civil,Technology Development,LEO,Sun-Synchronous,678.0,703.0,0.00177,98.6,Plesetsk Cosmodrome,1.0,1.708677338
USA,Civil,Technology Development,LEO,,443.0,886.0,0.03149,98.0,Vandenberg AFB,1.0,2.09963109
USA,Civil,Technology Development,LEO,,326.0,1465.0,0.07838,102.89,Vandenberg AFB,,1.413542161
Japan,Civil,Technology Development,LEO,Sun-Synchronous,814.0,829.0,0.00104,101.3,Plesetsk Cosmodrome,,1.722639972
Japan,Civil,Technology Development,LEO,Sun-Synchronous,609.0,628.0,0.00136,97.1,Sriharikota Launch Station,,1.706932008
USA,Civil/Government,Technology Development,LEO,,326.0,1475.0,0.07902,103.0,Vandenberg AFB,50.0,1.413716694
Spain,Government,Earth Observation,LEO,Sun-Synchronous,661.0,662.0,7e-05,98.0,Baikonur Cosmodrome,90.0,1.710422667
Netherlands,Civil,Technology Development,LEO,Sun-Synchronous,598.0,616.0,0.00129,96.8,Sriharikota Launch Station,6.5,1.706932008
Netherlands,Civil,Technology Development,LEO,Sun-Synchronous,594.0,780.0,0.01318,98.5,Dombarovsky Launch Facility,4.5,1.705186679
USA,Commercial,Communications,GEO,,35785.0,35788.0,4e-05,1436.1,Baikonur Cosmodrome,5900.0,0.000698132
USA,Commercial,Communications,GEO,,35786.0,35786.0,0.0,1436.1,Sea Launch (Odyssey),5900.0,0.000523599
USA,Commercial,Communications,GEO,,35785.0,35786.0,1e-05,1436.04,Baikonur Cosmodrome,5900.0,0.001570796
Russia,Commercial,Communications,GEO,,35778.0,35795.0,0.0002,1436.1,Sea Launch (Odyssey),3420.0,0.000523599
USA,Commercial,Communications,GEO,,35780.0,35792.0,0.00014,1436.09,Guiana Space Center,4300.0,0.000872665
USA,Commercial,Communications,GEO,,35773.0,35799.0,0.00031,1436.08,Baikonur Cosmodrome,4300.0,0.00122173
USA,Commercial,Communications,GEO,,35774.0,35797.0,0.00027,1436.1,Sea Launch,5483.0,0.000174533
USA,Commercial,Communications,GEO,,35777.0,35796.0,0.00023,1436.1,Baikonur Cosmodrome,3800.0,0.000349066
USA,Commercial,Communications,GEO,,35774.0,35798.0,0.00028,1436.1,Guiana Space Center,5500.0,0.000523599
Germany,Government,Earth Science,LEO,Sun-Synchronous,712.0,732.0,0.00141,99.2,Satish Dhawan Space Center,45.0,1.720894642
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,845.0,855.0,0.00069,101.93,Vandenberg AFB,1134.0,1.724385301
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,842.0,855.0,0.0009,101.9,Vandenberg AFB,1134.0,1.72613063
USA,Military,Earth Science/Meteorology,LEO,Sun-Synchronous,837.0,851.0,0.00097,101.8,Vandenberg AFB,1152.0,1.72613063
